,Quizz_ID,Year,Departement,Chapter_ID,Rank_onChapter,Quizz_Type,B,Slip,Guess,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Success_Attempts,Failure_Attempts,TruePrct_Succes,Predict_Difficulty,Correct_Difficulty,Prediction/Correct Difficulty
1323,494,2016,Droit,5,3,QCU,0.1532,0.31,0.29,30,10,5,5,3.0,50.0,5,25,15.32,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
2153,494,2017,Droit,5,3,QCU,0.9081,0.06,0.91,36,34,33,1,1.06,97.06,33,3,90.81,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2983,494,2018,Droit,5,3,QCU,0.97,0.06,0.97,33,33,32,1,1.0,96.97,32,1,97.0,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3813,494,2019,Droit,5,3,QCU,0.9698,0.07,0.93,33,32,32,0,1.03,100.0,32,1,96.98,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4643,494,2020,Droit,5,3,QCU,0.9471,0.08,0.96,40,40,38,2,1.0,95.0,38,2,94.71,Trop Facile,Trop Facile,Trop Facile / Trop Facile
494,495,2015,Droit,5,4,QCM,0.8916,0.05,0.87,32,31,29,2,1.03,93.55,29,3,89.16,Difficile,Trop Facile,Difficile / Trop Facile
1324,495,2016,Droit,5,4,QCM,0.9547,0.08,0.94,38,38,36,2,1.0,94.74,36,2,95.47,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2154,495,2017,Droit,5,4,QCM,0.8616,0.05,0.96,45,44,39,5,1.02,88.64,39,6,86.16,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2984,495,2018,Droit,5,4,QCM,0.9067,0.07,0.9,37,37,34,3,1.0,91.89,34,3,90.67,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3814,495,2019,Droit,5,4,QCM,0.961,0.04,0.94,37,37,36,1,1.0,97.3,36,1,96.1,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4644,495,2020,Droit,5,4,QCM,0.9818,0.06,0.84,31,30,30,0,1.03,100.0,30,1,98.18,Trop Facile,Trop Facile,Trop Facile / Trop Facile
495,496,2015,Droit,6,1,QO,0.3676,0.89,0.13,84,49,31,18,1.71,63.27,31,53,36.76,Trop Facile,Difficile,Trop Facile / Difficile
1325,496,2016,Droit,6,1,QO,0.8854,0.03,0.93,82,81,73,8,1.01,90.12,73,9,88.54,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2155,496,2017,Droit,6,1,QO,0.6715,0.6,0.27,74,61,50,11,1.21,81.97,50,24,67.15,Trop Facile,Adapte,Trop Facile / Adapte
2985,496,2018,Droit,6,1,QO,0.6879,0.56,0.15,70,68,48,20,1.03,70.59,48,22,68.79,Adapte,Adapte,Adapte / Adapte
3815,496,2019,Droit,6,1,QO,0.6629,0.47,0.24,69,57,46,11,1.21,80.7,46,23,66.29,Adapte,Adapte,Adapte / Adapte
4645,496,2020,Droit,6,1,QO,0.6477,0.67,0.25,59,53,38,15,1.11,71.7,38,21,64.77,Adapte,Adapte,Adapte / Adapte
496,497,2015,Droit,6,2,QCU,0.8912,0.04,0.96,11,11,10,1,1.0,90.91,10,1,89.12,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1326,497,2016,Droit,6,2,QCU,0.8652,0.03,0.97,11,11,10,1,1.0,90.91,10,1,86.52,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2156,497,2017,Droit,6,2,QCU,0.9325,0.05,0.99,9,8,8,0,1.12,100.0,8,1,93.25,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2986,497,2018,Droit,6,2,QCU,0.0005,0.65,0.22,7,3,0,3,2.33,0.0,0,7,0.05,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
3816,497,2019,Droit,6,2,QCU,0.9549,0.02,0.94,8,8,8,0,1.0,100.0,8,0,95.49,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4646,497,2020,Droit,6,2,QCU,0.9188,0.01,0.92,6,6,6,0,1.0,100.0,6,0,91.88,Trop Facile,Trop Facile,Trop Facile / Trop Facile
497,498,2015,Droit,6,3,QCU,0.6534,0.28,0.69,98,90,64,26,1.09,71.11,64,34,65.34,Difficile,Adapte,Difficile / Adapte
1327,498,2016,Droit,6,3,QCU,0.7334,0.16,0.41,94,86,69,17,1.09,80.23,69,25,73.34,Adapte,Adapte,Adapte / Adapte
2157,498,2017,Droit,6,3,QCU,0.7132,0.28,0.63,79,70,56,14,1.13,80.0,56,23,71.32,Adapte,Adapte,Adapte / Adapte
2987,498,2018,Droit,6,3,QCU,0.7203,0.28,0.42,67,54,48,6,1.24,88.89,48,19,72.03,Adapte,Adapte,Adapte / Adapte
3817,498,2019,Droit,6,3,QCU,0.6369,0.15,0.6,74,62,47,15,1.19,75.81,47,27,63.69,Adapte,Adapte,Adapte / Adapte
4647,498,2020,Droit,6,3,QCU,0.637,0.0,0.4,67,59,43,16,1.14,72.88,43,24,63.7,Adapte,Adapte,Adapte / Adapte
498,499,2015,Droit,6,4,QCM,0.7117,0.05,0.52,88,85,63,22,1.04,74.12,63,25,71.17,Difficile,Adapte,Difficile / Adapte
1328,499,2016,Droit,6,4,QCM,0.7105,0.1,0.48,92,78,65,13,1.18,83.33,65,27,71.05,Adapte,Adapte,Adapte / Adapte
2158,499,2017,Droit,6,4,QCM,0.6049,0.15,0.43,84,56,51,5,1.5,91.07,51,33,60.49,Adapte,Adapte,Adapte / Adapte
2988,499,2018,Droit,6,4,QCM,0.6196,0.12,0.47,79,78,49,29,1.01,62.82,49,30,61.96,Adapte,Adapte,Adapte / Adapte
3818,499,2019,Droit,6,4,QCM,0.6165,0.06,0.52,73,67,45,22,1.09,67.16,45,28,61.65,Adapte,Adapte,Adapte / Adapte
4648,499,2020,Droit,6,4,QCM,0.6507,0.08,0.52,64,61,42,19,1.05,68.85,42,22,65.07,Adapte,Adapte,Adapte / Adapte
499,500,2015,Droit,6,5,QCM,0.7465,0.22,0.58,34,34,25,9,1.0,73.53,25,9,74.65,Adapte,Adapte,Adapte / Adapte
1329,500,2016,Droit,6,5,QCM,0.6581,0.08,0.41,40,36,26,10,1.11,72.22,26,14,65.81,Adapte,Adapte,Adapte / Adapte
2159,500,2017,Droit,6,5,QCM,0.7404,0.23,0.51,42,39,31,8,1.08,79.49,31,11,74.04,Adapte,Adapte,Adapte / Adapte
2989,500,2018,Droit,6,5,QCM,0.6207,0.03,0.51,35,32,22,10,1.09,68.75,22,13,62.07,Adapte,Adapte,Adapte / Adapte
3819,500,2019,Droit,6,5,QCM,0.652,0.29,0.64,38,33,25,8,1.15,75.76,25,13,65.2,Adapte,Adapte,Adapte / Adapte
4649,500,2020,Droit,6,5,QCM,0.646,0.16,0.42,36,34,23,11,1.06,67.65,23,13,64.6,Adapte,Adapte,Adapte / Adapte
500,501,2015,Droit,6,6,QCU,0.7897,0.06,0.86,14,13,11,2,1.08,84.62,11,3,78.97,Facile,Facile,Facile / Facile
1330,501,2016,Droit,6,6,QCU,0.9101,0.03,0.91,11,10,10,0,1.1,100.0,10,1,91.01,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2160,501,2017,Droit,6,6,QCU,0.8834,0.07,0.94,9,9,8,1,1.0,88.89,8,1,88.34,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2990,501,2018,Droit,6,6,QCU,0.996,0.02,0.97,11,11,11,0,1.0,100.0,11,0,99.6,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3820,501,2019,Droit,6,6,QCU,0.9048,0.1,0.91,12,11,11,0,1.09,100.0,11,1,90.48,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4650,501,2020,Droit,6,6,QCU,0.7715,0.13,0.89,11,10,8,2,1.1,80.0,8,3,77.15,Trop Facile,Facile,Trop Facile / Facile
501,502,2015,Droit,6,7,QCM,0.6097,0.07,0.42,26,21,16,5,1.24,76.19,16,10,60.97,Adapte,Adapte,Adapte / Adapte
1331,502,2016,Droit,6,7,QCM,0.6762,0.17,0.42,29,26,20,6,1.12,76.92,20,9,67.62,Adapte,Adapte,Adapte / Adapte
2161,502,2017,Droit,6,7,QCM,0.6569,0.13,0.44,30,22,20,2,1.36,90.91,20,10,65.69,Adapte,Adapte,Adapte / Adapte
2991,502,2018,Droit,6,7,QCM,0.6666,0.06,0.46,24,21,16,5,1.14,76.19,16,8,66.66,Adapte,Adapte,Adapte / Adapte
3821,502,2019,Droit,6,7,QCM,0.7048,0.07,0.45,23,21,16,5,1.1,76.19,16,7,70.48,Adapte,Adapte,Adapte / Adapte
4651,502,2020,Droit,6,7,QCM,0.7099,0.18,0.5,22,19,16,3,1.16,84.21,16,6,70.99,Adapte,Adapte,Adapte / Adapte
502,503,2015,Droit,6,8,QCU,0.0391,0.09,0.28,91,88,4,84,1.03,4.55,4,87,3.91,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1332,503,2016,Droit,6,8,QCU,0.4605,0.31,0.38,108,90,50,40,1.2,55.56,50,58,46.05,Trop Facile,Difficile,Trop Facile / Difficile
2162,503,2017,Droit,6,8,QCU,0.9653,0.07,0.97,110,110,106,4,1.0,96.36,106,4,96.53,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2992,503,2018,Droit,6,8,QCU,0.2664,0.25,0.34,117,72,31,41,1.62,43.06,31,86,26.64,Trop Facile,Difficile,Trop Facile / Difficile
3822,503,2019,Droit,6,8,QCU,0.8982,0.03,0.97,119,113,107,6,1.05,94.69,107,12,89.82,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4652,503,2020,Droit,6,8,QCU,0.8738,0.01,1.0,131,128,114,14,1.02,89.06,114,17,87.38,Trop Facile,Trop Facile,Trop Facile / Trop Facile
503,504,2015,Droit,6,9,QCM,0.2373,0.58,0.26,44,44,10,34,1.0,22.73,10,34,23.73,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1333,504,2016,Droit,6,9,QCM,0.6935,0.14,0.62,46,42,32,10,1.1,76.19,32,14,69.35,Trop Facile,Adapte,Trop Facile / Adapte
2163,504,2017,Droit,6,9,QCM,0.707,0.14,0.45,53,43,37,6,1.23,86.05,37,16,70.7,Adapte,Adapte,Adapte / Adapte
2993,504,2018,Droit,6,9,QCM,0.6693,0.16,0.51,62,50,41,9,1.24,82.0,41,21,66.93,Adapte,Adapte,Adapte / Adapte
3823,504,2019,Droit,6,9,QCM,0.7115,0.21,0.52,51,43,36,7,1.19,83.72,36,15,71.15,Adapte,Adapte,Adapte / Adapte
4653,504,2020,Droit,6,9,QCM,0.6008,0.23,0.56,56,50,34,16,1.12,68.0,34,22,60.08,Adapte,Adapte,Adapte / Adapte
504,505,2015,Droit,7,1,QCU,0.8289,0.14,0.8,66,63,55,8,1.05,87.3,55,11,82.89,Facile,Facile,Facile / Facile
1334,505,2016,Droit,7,1,QCU,0.9899,0.04,0.9,57,56,56,0,1.02,100.0,56,1,98.99,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2164,505,2017,Droit,7,1,QCU,0.4258,0.2,0.4,66,29,28,1,2.28,96.55,28,38,42.58,Trop Facile,Difficile,Trop Facile / Difficile
2994,505,2018,Droit,7,1,QCU,0.8981,0.05,0.92,57,51,51,0,1.12,100.0,51,6,89.81,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3824,505,2019,Droit,7,1,QCU,0.8674,0.02,0.96,46,42,40,2,1.1,95.24,40,6,86.74,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4654,505,2020,Droit,7,1,QCU,0.7945,0.16,0.85,53,44,42,2,1.2,95.45,42,11,79.45,Trop Facile,Facile,Trop Facile / Facile
505,506,2015,Droit,7,2,QROC,0.4977,0.56,0.18,34,26,17,9,1.31,65.38,17,17,49.77,Difficile,Difficile,Difficile / Difficile
1335,506,2016,Droit,7,2,QROC,0.8692,0.07,0.55,30,30,26,4,1.0,86.67,26,4,86.92,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2165,506,2017,Droit,7,2,QROC,0.6454,0.42,0.26,31,23,20,3,1.35,86.96,20,11,64.54,Trop Facile,Adapte,Trop Facile / Adapte
2995,506,2018,Droit,7,2,QROC,0.7426,0.3,0.32,25,25,19,6,1.0,76.0,19,6,74.26,Adapte,Adapte,Adapte / Adapte
3825,506,2019,Droit,7,2,QROC,0.7064,0.34,0.36,25,20,18,2,1.25,90.0,18,7,70.64,Adapte,Adapte,Adapte / Adapte
4655,506,2020,Droit,7,2,QROC,0.6656,0.42,0.25,22,16,15,1,1.38,93.75,15,7,66.56,Adapte,Adapte,Adapte / Adapte
506,507,2015,Droit,7,3,QCU,0.7666,0.18,0.88,81,69,62,7,1.17,89.86,62,19,76.66,Facile,Facile,Facile / Facile
1336,507,2016,Droit,7,3,QCU,0.0968,0.5,0.22,73,70,7,63,1.04,10.0,7,66,9.68,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
2166,507,2017,Droit,7,3,QCU,0.8235,0.12,0.81,86,74,71,3,1.16,95.95,71,15,82.35,Trop Facile,Facile,Trop Facile / Facile
2996,507,2018,Droit,7,3,QCU,0.8903,0.04,0.96,80,77,71,6,1.04,92.21,71,9,89.03,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3826,507,2019,Droit,7,3,QCU,0.907,0.02,0.97,91,86,83,3,1.06,96.51,83,8,90.7,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4656,507,2020,Droit,7,3,QCU,0.9782,0.0,0.96,103,102,101,1,1.01,99.02,101,2,97.82,Trop Facile,Trop Facile,Trop Facile / Trop Facile
507,508,2015,Droit,7,4,QCM,0.1717,0.13,0.24,50,29,9,20,1.72,31.03,9,41,17.17,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1337,508,2016,Droit,7,4,QCM,0.8928,0.08,0.84,51,50,46,4,1.02,92.0,46,5,89.28,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2167,508,2017,Droit,7,4,QCM,0.8949,0.0,0.85,56,53,50,3,1.06,94.34,50,6,89.49,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2997,508,2018,Droit,7,4,QCM,0.7435,0.01,0.41,45,38,33,5,1.18,86.84,33,12,74.35,Trop Facile,Adapte,Trop Facile / Adapte
3827,508,2019,Droit,7,4,QCM,0.6353,0.16,0.4,48,36,30,6,1.33,83.33,30,18,63.53,Adapte,Adapte,Adapte / Adapte
4657,508,2020,Droit,7,4,QCM,0.7339,0.21,0.49,44,34,32,2,1.29,94.12,32,12,73.39,Adapte,Adapte,Adapte / Adapte
508,509,2015,Droit,7,5,QROC,0.7847,0.06,0.47,14,13,11,2,1.08,84.62,11,3,78.47,Facile,Facile,Facile / Facile
1338,509,2016,Droit,7,5,QROC,0.9615,0.05,0.53,12,12,12,0,1.0,100.0,12,0,96.15,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2168,509,2017,Droit,7,5,QROC,0.7732,0.04,0.42,10,8,8,0,1.25,100.0,8,2,77.32,Trop Facile,Facile,Trop Facile / Facile
2998,509,2018,Droit,7,5,QROC,0.9232,0.01,0.87,10,10,9,1,1.0,90.0,9,1,92.32,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3828,509,2019,Droit,7,5,QROC,0.5546,0.53,0.21,12,11,7,4,1.09,63.64,7,5,55.46,Trop Facile,Difficile,Trop Facile / Difficile
4658,509,2020,Droit,7,5,QROC,0.8714,0.09,0.58,12,12,10,2,1.0,83.33,10,2,87.14,Trop Facile,Trop Facile,Trop Facile / Trop Facile
509,510,2015,Droit,7,6,QCU,0.8942,0.1,0.91,17,17,15,2,1.0,88.24,15,2,89.42,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1339,510,2016,Droit,7,6,QCU,0.8638,0.06,0.95,14,12,12,0,1.17,100.0,12,2,86.38,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2169,510,2017,Droit,7,6,QCU,0.1804,0.39,0.23,15,13,3,10,1.15,23.08,3,12,18.04,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
2999,510,2018,Droit,7,6,QCU,0.9078,0.05,0.94,16,15,15,0,1.07,100.0,15,1,90.78,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3829,510,2019,Droit,7,6,QCU,0.8992,0.07,0.98,16,14,14,0,1.14,100.0,14,2,89.92,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4659,510,2020,Droit,7,6,QCU,0.2566,0.07,0.34,19,15,5,10,1.27,33.33,5,14,25.66,Trop Facile,Difficile,Trop Facile / Difficile
510,511,2015,Droit,7,7,QO,0.5107,0.88,0.12,54,53,28,25,1.02,52.83,28,26,51.07,Difficile,Difficile,Difficile / Difficile
1340,511,2016,Droit,7,7,QO,0.9723,0.05,0.54,54,54,53,1,1.0,98.15,53,1,97.23,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2170,511,2017,Droit,7,7,QO,0.9399,0.04,0.99,57,55,54,1,1.04,98.18,54,3,93.99,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3000,511,2018,Droit,7,7,QO,0.9831,0.03,0.54,60,60,59,1,1.0,98.33,59,1,98.31,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3830,511,2019,Droit,7,7,QO,0.8617,0.09,0.89,72,67,62,5,1.07,92.54,62,10,86.17,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4660,511,2020,Droit,7,7,QO,0.9725,0.06,0.83,59,59,57,2,1.0,96.61,57,2,97.25,Trop Facile,Trop Facile,Trop Facile / Trop Facile
511,512,2015,Droit,7,8,QROC,0.5171,0.73,0.21,37,34,19,15,1.09,55.88,19,18,51.71,Difficile,Difficile,Difficile / Difficile
1341,512,2016,Droit,7,8,QROC,0.2634,0.57,0.24,33,30,9,21,1.1,30.0,9,24,26.34,Trop Facile,Difficile,Trop Facile / Difficile
2171,512,2017,Droit,7,8,QROC,0.8665,0.05,0.73,38,34,33,1,1.12,97.06,33,5,86.65,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3001,512,2018,Droit,7,8,QROC,0.9015,0.02,0.6,31,30,28,2,1.03,93.33,28,3,90.15,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3831,512,2019,Droit,7,8,QROC,0.9154,0.02,0.65,34,33,31,2,1.03,93.94,31,3,91.54,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4661,512,2020,Droit,7,8,QROC,0.8989,0.09,0.58,39,36,35,1,1.08,97.22,35,4,89.89,Trop Facile,Trop Facile,Trop Facile / Trop Facile
512,513,2015,Droit,8,1,QCM,0.5483,0.33,0.35,41,28,22,6,1.46,78.57,22,19,54.83,Difficile,Difficile,Difficile / Difficile
1342,513,2016,Droit,8,1,QCM,0.9903,0.08,1.0,46,46,46,0,1.0,100.0,46,0,99.03,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2172,513,2017,Droit,8,1,QCM,0.1381,0.66,0.29,51,40,7,33,1.27,17.5,7,44,13.81,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
3002,513,2018,Droit,8,1,QCM,0.8497,0.14,0.76,44,38,37,1,1.16,97.37,37,7,84.97,Trop Facile,Facile,Trop Facile / Facile
3832,513,2019,Droit,8,1,QCM,0.0355,0.59,0.27,36,16,1,15,2.25,6.25,1,35,3.55,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
4662,513,2020,Droit,8,1,QCM,0.9315,0.07,0.96,37,37,34,3,1.0,91.89,34,3,93.15,Trop Facile,Trop Facile,Trop Facile / Trop Facile
513,514,2015,Droit,8,2,QO,0.905,0.07,0.78,97,91,88,3,1.07,96.7,88,9,90.5,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1343,514,2016,Droit,8,2,QO,0.9481,0.1,0.54,89,85,84,1,1.05,98.82,84,5,94.81,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2173,514,2017,Droit,8,2,QO,0.9229,0.06,0.97,89,85,82,3,1.05,96.47,82,7,92.29,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3003,514,2018,Droit,8,2,QO,0.9898,0.03,0.51,86,86,85,1,1.0,98.84,85,1,98.98,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3833,514,2019,Droit,8,2,QO,0.9122,0.1,0.81,83,78,76,2,1.06,97.44,76,7,91.22,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4663,514,2020,Droit,8,2,QO,0.8708,0.07,0.84,86,86,75,11,1.0,87.21,75,11,87.08,Trop Facile,Trop Facile,Trop Facile / Trop Facile
514,515,2015,Droit,8,3,QCM,0.0662,0.03,0.2,64,52,4,48,1.23,7.69,4,60,6.62,Facile,Trop Difficile,Facile / Trop Difficile
1344,515,2016,Droit,8,3,QCM,0.9085,0.1,0.99,57,53,52,1,1.08,98.11,52,5,90.85,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2174,515,2017,Droit,8,3,QCM,0.8994,0.02,0.9,63,58,57,1,1.09,98.28,57,6,89.94,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3004,515,2018,Droit,8,3,QCM,0.0283,0.01,0.27,75,19,2,17,3.95,10.53,2,73,2.83,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
3834,515,2019,Droit,8,3,QCM,0.9381,0.08,0.9,73,70,68,2,1.04,97.14,68,5,93.81,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4664,515,2020,Droit,8,3,QCM,0.763,0.2,0.75,87,86,66,20,1.01,76.74,66,21,76.3,Trop Facile,Facile,Trop Facile / Facile
515,516,2015,Droit,8,4,QCU,0.772,0.09,0.86,64,62,49,13,1.03,79.03,49,15,77.2,Facile,Facile,Facile / Facile
1345,516,2016,Droit,8,4,QCU,0.2745,0.36,0.35,65,38,18,20,1.71,47.37,18,47,27.45,Trop Facile,Difficile,Trop Facile / Difficile
2175,516,2017,Droit,8,4,QCU,0.9205,0.02,0.93,60,57,55,2,1.05,96.49,55,5,92.05,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3005,516,2018,Droit,8,4,QCU,0.9521,0.01,0.96,69,67,66,1,1.03,98.51,66,3,95.21,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3835,516,2019,Droit,8,4,QCU,0.9804,0.07,0.91,64,63,63,0,1.02,100.0,63,1,98.04,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4665,516,2020,Droit,8,4,QCU,0.6193,0.1,0.65,64,44,40,4,1.45,90.91,40,24,61.93,Trop Facile,Adapte,Trop Facile / Adapte
516,517,2015,Droit,9,1,QCM,0.7987,0.08,0.77,33,27,26,1,1.22,96.3,26,7,79.87,Facile,Facile,Facile / Facile
1346,517,2016,Droit,9,1,QCM,0.9143,0.01,0.81,32,31,29,2,1.03,93.55,29,3,91.43,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2176,517,2017,Droit,9,1,QCM,0.2334,0.06,0.29,29,20,7,13,1.45,35.0,7,22,23.34,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
3006,517,2018,Droit,9,1,QCM,0.9356,0.08,0.81,28,26,26,0,1.08,100.0,26,2,93.56,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3836,517,2019,Droit,9,1,QCM,0.3561,0.08,0.35,34,19,12,7,1.79,63.16,12,22,35.61,Trop Facile,Difficile,Trop Facile / Difficile
4666,517,2020,Droit,9,1,QCM,0.986,0.09,0.98,40,39,39,0,1.03,100.0,39,1,98.6,Trop Facile,Trop Facile,Trop Facile / Trop Facile
517,518,2015,Droit,9,2,QCM,0.4247,0.44,0.31,18,11,8,3,1.64,72.73,8,10,42.47,Difficile,Difficile,Difficile / Difficile
1347,518,2016,Droit,9,2,QCM,0.8076,0.16,0.78,20,19,16,3,1.05,84.21,16,4,80.76,Trop Facile,Facile,Trop Facile / Facile
2177,518,2017,Droit,9,2,QCM,0.6749,0.05,0.6,19,18,13,5,1.06,72.22,13,6,67.49,Trop Facile,Adapte,Trop Facile / Adapte
3007,518,2018,Droit,9,2,QCM,0.7057,0.13,0.5,19,18,13,5,1.06,72.22,13,6,70.57,Adapte,Adapte,Adapte / Adapte
3837,518,2019,Droit,9,2,QCM,0.7467,0.03,0.52,18,14,13,1,1.29,92.86,13,5,74.67,Adapte,Adapte,Adapte / Adapte
4667,518,2020,Droit,9,2,QCM,0.6156,0.08,0.69,22,20,14,6,1.1,70.0,14,8,61.56,Adapte,Adapte,Adapte / Adapte
518,519,2015,Droit,9,3,QROC,0.6942,0.37,0.27,84,72,58,14,1.17,80.56,58,26,69.42,Trop Difficile,Adapte,Trop Difficile / Adapte
1348,519,2016,Droit,9,3,QROC,0.6936,0.42,0.28,68,61,47,14,1.11,77.05,47,21,69.36,Adapte,Adapte,Adapte / Adapte
2178,519,2017,Droit,9,3,QROC,0.7206,0.48,0.27,71,59,51,8,1.2,86.44,51,20,72.06,Adapte,Adapte,Adapte / Adapte
3008,519,2018,Droit,9,3,QROC,0.6206,0.26,0.3,62,52,38,14,1.19,73.08,38,24,62.06,Adapte,Adapte,Adapte / Adapte
3838,519,2019,Droit,9,3,QROC,0.7436,0.34,0.33,66,57,49,8,1.16,85.96,49,17,74.36,Adapte,Adapte,Adapte / Adapte
4668,519,2020,Droit,9,3,QROC,0.6811,0.46,0.31,66,58,45,13,1.14,77.59,45,21,68.11,Adapte,Adapte,Adapte / Adapte
519,520,2015,Droit,9,4,QCU,0.7781,0.02,0.88,35,28,27,1,1.25,96.43,27,8,77.81,Trop Difficile,Facile,Trop Difficile / Facile
1349,520,2016,Droit,9,4,QCU,0.9346,0.04,0.91,38,37,36,1,1.03,97.3,36,2,93.46,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2179,520,2017,Droit,9,4,QCU,0.6497,0.12,0.59,41,34,27,7,1.21,79.41,27,14,64.97,Trop Facile,Adapte,Trop Facile / Adapte
3009,520,2018,Droit,9,4,QCU,0.723,0.08,0.61,48,47,35,12,1.02,74.47,35,13,72.3,Adapte,Adapte,Adapte / Adapte
3839,520,2019,Droit,9,4,QCU,0.6206,0.08,0.55,58,47,36,11,1.23,76.6,36,22,62.06,Adapte,Adapte,Adapte / Adapte
4669,520,2020,Droit,9,4,QCU,0.665,0.22,0.4,59,40,39,1,1.48,97.5,39,20,66.5,Adapte,Adapte,Adapte / Adapte
520,521,2015,Droit,9,5,QCU,0.0527,0.67,0.23,75,30,4,26,2.5,13.33,4,71,5.27,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1350,521,2016,Droit,9,5,QCU,0.8834,0.03,0.97,83,75,73,2,1.11,97.33,73,10,88.34,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2180,521,2017,Droit,9,5,QCU,0.7129,0.26,0.56,79,60,56,4,1.32,93.33,56,23,71.29,Trop Facile,Adapte,Trop Facile / Adapte
3010,521,2018,Droit,9,5,QCU,0.6988,0.09,0.69,87,84,61,23,1.04,72.62,61,26,69.88,Adapte,Adapte,Adapte / Adapte
3840,521,2019,Droit,9,5,QCU,0.6012,0.14,0.44,80,74,48,26,1.08,64.86,48,32,60.12,Adapte,Adapte,Adapte / Adapte
4670,521,2020,Droit,9,5,QCU,0.7441,0.29,0.45,83,80,62,18,1.04,77.5,62,21,74.41,Adapte,Adapte,Adapte / Adapte
521,522,2015,Droit,9,6,QCU,0.435,0.07,0.31,57,29,25,4,1.97,86.21,25,32,43.5,Difficile,Difficile,Difficile / Difficile
1351,522,2016,Droit,9,6,QCU,0.972,0.06,0.99,46,45,45,0,1.02,100.0,45,1,97.2,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2181,522,2017,Droit,9,6,QCU,0.9949,0.06,0.94,51,51,51,0,1.0,100.0,51,0,99.49,Trop Facile,Trop Facile,Trop Facile / Trop Facile
