,Year,Departement,Module_ID,Module,Chapter_ID,Chapter,Quiz_perChapter,Quizz_ID,Rank_onChapter,Quizz_Type,Slip,Guess,Success_Prct,Success_Attempts,Failure_Attempts,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Predict_Difficulty,Correct_Difficulty,Score,Difficulty_String,Difficulty
3822,2018,Mathematique,1,La Derivation,2,Derivee Globale,10,625,8,QO,0.38,0.22,55.0,36,29,65,38,36,2,1.71,94.74,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
4888,2019,Mathematique,1,La Derivation,2,Derivee Globale,10,625,8,QO,0.88,0.12,15.0,10,58,68,47,10,37,1.45,21.28,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
5954,2020,Mathematique,1,La Derivation,2,Derivee Globale,10,625,8,QO,0.52,0.3,36.0,23,40,63,37,23,14,1.7,62.16,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
625,2015,Mathematique,1,La Derivation,2,Derivee Globale,10,626,9,QCU,0.42,0.39,22.0,2,8,10,9,2,7,1.11,22.22,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
1691,2016,Mathematique,1,La Derivation,2,Derivee Globale,10,626,9,QROC,0.82,0.04,21.0,3,9,12,6,3,3,2.0,50.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2757,2017,Mathematique,1,La Derivation,2,Derivee Globale,10,626,9,QROC,0.52,0.39,45.0,5,7,12,6,5,1,2.0,83.33,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
3823,2018,Mathematique,1,La Derivation,2,Derivee Globale,10,626,9,QROC,0.83,0.1,7.0,1,11,12,7,1,6,1.71,14.29,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
4889,2019,Mathematique,1,La Derivation,2,Derivee Globale,10,626,9,QO,0.34,0.2,61.0,7,4,11,11,7,4,1.0,63.64,Difficile,Moyen,1,Plus Facile que la Prediction,Adapte
5955,2020,Mathematique,1,La Derivation,2,Derivee Globale,10,626,9,QO,0.43,0.29,61.0,6,4,10,6,6,0,1.67,100.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
626,2015,Mathematique,1,La Derivation,2,Derivee Globale,10,627,10,QCU,0.34,0.6,62.0,43,27,70,52,43,9,1.35,82.69,Facile,Moyen,-1,Plus Difficile que la Prediction,Adapte
1692,2016,Mathematique,1,La Derivation,2,Derivee Globale,10,627,10,QCU,0.2,0.67,62.0,39,24,63,40,39,1,1.57,97.5,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
2758,2017,Mathematique,1,La Derivation,2,Derivee Globale,10,627,10,QCU,0.23,0.66,62.0,33,21,54,34,33,1,1.59,97.06,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
3824,2018,Mathematique,1,La Derivation,2,Derivee Globale,10,627,10,QCU,0.34,0.56,62.0,33,20,53,39,33,6,1.36,84.62,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
4890,2019,Mathematique,1,La Derivation,2,Derivee Globale,10,627,10,QCU,0.21,0.57,62.0,31,19,50,45,31,14,1.11,68.89,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5956,2020,Mathematique,1,La Derivation,2,Derivee Globale,10,627,10,QCU,0.25,0.51,62.0,29,17,46,43,29,14,1.07,67.44,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
627,2015,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,628,1,QO,0.9,0.06,15.0,10,59,69,54,10,44,1.28,18.52,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1693,2016,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,628,1,QO,0.94,0.02,31.0,24,52,76,50,24,26,1.52,48.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2759,2017,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,628,1,QO,0.85,0.1,9.0,7,67,74,57,7,50,1.3,12.28,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
3825,2018,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,628,1,QO,0.93,0.1,10.0,8,69,77,62,8,54,1.24,12.9,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
4891,2019,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,628,1,QO,0.88,0.07,15.0,12,71,83,51,12,39,1.63,23.53,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
5957,2020,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,628,1,QO,0.8,0.01,8.0,7,77,84,68,7,61,1.24,10.29,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
628,2015,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,629,2,QCU,0.41,0.38,20.0,14,55,69,67,14,53,1.03,20.9,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1694,2016,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,629,2,QCU,0.4,0.5,49.0,31,32,63,55,31,24,1.15,56.36,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2760,2017,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,629,2,QCU,0.7,0.29,23.0,14,49,63,29,14,15,2.17,48.28,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
3826,2018,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,629,2,QCU,0.45,0.21,35.0,19,36,55,30,19,11,1.83,63.33,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
4892,2019,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,629,2,QCU,0.5,0.23,27.0,14,38,52,27,14,13,1.93,51.85,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
5958,2020,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,629,2,QCU,0.4,0.41,43.0,19,26,45,31,19,12,1.45,61.29,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
629,2015,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,630,3,QCM,0.26,0.36,49.0,14,14,28,19,14,5,1.47,73.68,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
1695,2016,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,630,3,QCU,0.36,0.74,36.0,10,17,27,26,10,16,1.04,38.46,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
2761,2017,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,630,3,QCU,0.26,0.53,49.0,14,15,29,27,14,13,1.07,51.85,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
3827,2018,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,630,3,QCU,0.68,0.35,11.0,3,22,25,16,3,13,1.56,18.75,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
4893,2019,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,630,3,QCU,0.28,0.6,38.0,10,16,26,16,10,6,1.62,62.5,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
5959,2020,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,630,3,QCU,0.71,0.26,25.0,7,21,28,14,7,7,2.0,50.0,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
630,2015,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,631,4,QCM,0.3,0.56,53.0,47,41,88,68,47,21,1.29,69.12,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1696,2016,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,631,4,QCM,0.26,0.33,38.0,29,47,76,68,29,39,1.12,42.65,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2762,2017,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,631,4,QCM,0.47,0.46,55.0,45,36,81,61,45,16,1.33,73.77,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
3828,2018,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,631,4,QCM,0.49,0.62,57.0,43,33,76,59,43,16,1.29,72.88,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
4894,2019,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,631,4,QCM,0.42,0.67,56.0,48,38,86,79,48,31,1.09,60.76,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
5960,2020,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,631,4,QCM,0.72,0.15,5.0,4,85,89,54,4,50,1.65,7.41,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
631,2015,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,632,5,QCU,0.59,0.27,10.0,6,56,62,48,6,42,1.29,12.5,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
1697,2016,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,632,5,QCU,0.22,0.42,50.0,30,30,60,31,30,1,1.94,96.77,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2763,2017,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,632,5,QROC,0.57,0.38,61.0,40,26,66,43,40,3,1.53,93.02,Facile,Moyen,-1,Plus Difficile que la Prediction,Adapte
3829,2018,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,632,5,QROC,0.36,0.34,61.0,45,29,74,59,45,14,1.25,76.27,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
4895,2019,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,632,5,QROC,0.41,0.4,61.0,41,26,67,45,41,4,1.49,91.11,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5961,2020,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,632,5,QROC,0.38,0.31,61.0,35,22,57,36,35,1,1.58,97.22,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
632,2015,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,633,6,QCM,0.54,0.19,21.0,18,67,85,22,18,4,3.86,81.82,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
1698,2016,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,633,6,QCM,0.19,0.81,66.0,50,25,75,60,50,10,1.25,83.33,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2764,2017,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,633,6,QCM,0.03,0.84,66.0,51,26,77,52,51,1,1.48,98.08,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3830,2018,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,633,6,QCM,0.03,0.84,66.0,57,29,86,63,57,6,1.37,90.48,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4896,2019,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,633,6,QCM,0.17,0.88,66.0,63,33,96,96,63,33,1.0,65.62,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5962,2020,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,633,6,QCM,0.04,0.88,66.0,69,35,104,82,69,13,1.27,84.15,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
633,2015,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,634,7,QCU,0.37,0.5,57.0,14,11,25,23,14,9,1.09,60.87,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
1699,2016,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,634,7,QCU,0.51,0.36,29.0,8,18,26,18,8,10,1.44,44.44,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2765,2017,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,634,7,QCU,0.73,0.25,25.0,6,19,25,22,6,16,1.14,27.27,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
3831,2018,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,634,7,QCU,0.31,0.66,48.0,12,14,26,15,12,3,1.73,80.0,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
4897,2019,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,634,7,QCU,0.62,0.24,18.0,5,24,29,24,5,19,1.21,20.83,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
5963,2020,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,634,7,QCU,0.12,0.8,68.0,20,10,30,25,20,5,1.2,80.0,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Adapte
634,2015,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,635,8,QCM,0.07,0.94,66.0,51,27,78,75,51,24,1.04,68.0,Moyen,Facile,1,Plus Facile que la Prediction,Adapte
1700,2016,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,635,8,QCM,0.2,0.99,66.0,50,25,75,61,50,11,1.23,81.97,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2766,2017,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,635,8,QCM,0.07,0.78,66.0,55,28,83,56,55,1,1.48,98.21,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3832,2018,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,635,8,QCM,0.02,0.84,66.0,55,29,84,69,55,14,1.22,79.71,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4898,2019,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,635,8,QCM,0.13,0.82,66.0,50,26,76,64,50,14,1.19,78.12,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5964,2020,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,635,8,QCM,0.01,0.97,66.0,57,30,87,57,57,0,1.53,100.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
635,2015,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,636,9,QCM,0.7,0.16,11.0,10,77,87,28,10,18,3.11,35.71,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
1701,2016,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,636,9,QCU,0.03,0.96,67.0,56,28,84,76,56,20,1.11,73.68,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2767,2017,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,636,9,QCU,0.04,0.84,67.0,52,25,77,55,52,3,1.4,94.55,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3833,2018,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,636,9,QCM,0.07,0.94,67.0,46,22,68,49,46,3,1.39,93.88,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4899,2019,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,636,9,QCM,0.16,0.87,67.0,46,23,69,59,46,13,1.17,77.97,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5965,2020,Mathematique,1,La Derivation,3,Theroeme de Rolle et des Accroissements Finis,9,636,9,QCM,0.15,0.73,67.0,49,24,73,73,49,24,1.0,67.12,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
636,2015,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,637,1,QCU,0.27,0.55,52.0,52,48,100,95,52,43,1.05,54.74,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
1702,2016,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,637,1,QCU,0.54,0.24,25.0,24,74,98,61,24,37,1.61,39.34,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2768,2017,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,637,1,QCU,0.03,0.97,69.0,64,29,93,69,64,5,1.35,92.75,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3834,2018,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,637,1,QCU,0.01,0.76,69.0,63,28,91,82,63,19,1.11,76.83,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4900,2019,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,637,1,QCU,0.19,0.9,69.0,59,27,86,66,59,7,1.3,89.39,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5966,2020,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,637,1,QROC,0.09,0.92,69.0,68,30,98,84,68,16,1.17,80.95,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
637,2015,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,638,2,QCU,0.69,0.25,10.0,6,51,57,49,6,43,1.16,12.24,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
1703,2016,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,638,2,QCU,0.2,0.4,57.0,37,28,65,50,37,13,1.3,74.0,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
2769,2017,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,638,2,QCU,0.33,0.46,51.0,31,30,61,41,31,10,1.49,75.61,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
3835,2018,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,638,2,QCU,0.26,0.7,60.0,34,22,56,52,34,18,1.08,65.38,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
4901,2019,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,638,2,QCM,0.43,0.31,60.0,35,24,59,50,35,15,1.18,70.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5967,2020,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,638,2,QCM,0.32,0.56,60.0,37,25,62,38,37,1,1.63,97.37,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
638,2015,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,639,3,QCU,0.67,0.24,1.0,0,37,37,30,0,30,1.23,0.0,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
1704,2016,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,639,3,QCU,0.72,0.33,10.0,4,34,38,33,4,29,1.15,12.12,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2770,2017,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,639,3,QCU,0.28,0.43,58.0,22,16,38,31,22,9,1.23,70.97,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
3836,2018,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,639,3,QCU,0.26,0.71,46.0,15,17,32,16,15,1,2.0,93.75,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
4902,2019,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,639,3,QCU,0.3,0.72,40.0,14,22,36,33,14,19,1.09,42.42,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
5968,2020,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,639,3,QCU,0.39,0.61,59.0,24,16,40,34,24,10,1.18,70.59,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
639,2015,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,640,4,QCM,0.42,0.3,56.0,18,14,32,19,18,1,1.68,94.74,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1705,2016,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,640,4,QCU,0.21,0.7,53.0,19,17,36,27,19,8,1.33,70.37,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2771,2017,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,640,4,QCU,0.72,0.39,14.0,4,28,32,30,4,26,1.07,13.33,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
3837,2018,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,640,4,QCM,0.27,0.35,49.0,17,18,35,30,17,13,1.17,56.67,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
4903,2019,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,640,4,QCM,0.02,0.88,67.0,23,11,34,31,23,8,1.1,74.19,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5969,2020,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,640,4,QCM,0.07,0.89,67.0,21,11,32,28,21,7,1.14,75.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
640,2015,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,641,5,QCM,0.26,0.67,60.0,13,9,22,17,13,4,1.29,76.47,Difficile,Moyen,1,Plus Facile que la Prediction,Adapte
1706,2016,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,641,5,QCM,0.36,0.65,60.0,12,8,20,19,12,7,1.05,63.16,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
2772,2017,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,641,5,QCM,0.28,0.38,60.0,14,9,23,14,14,0,1.64,100.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
3838,2018,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,641,5,QCM,0.22,0.68,60.0,14,10,24,20,14,6,1.2,70.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
4904,2019,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,641,5,QCM,0.29,0.69,60.0,13,9,22,15,13,2,1.47,86.67,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5970,2020,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,641,5,QCM,0.23,0.46,60.0,13,8,21,17,13,4,1.24,76.47,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
641,2015,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,642,6,QROC,0.94,0.11,21.0,4,15,19,12,4,8,1.58,33.33,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
1707,2016,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,642,6,QROC,0.13,0.8,68.0,13,6,19,14,13,1,1.36,92.86,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Adapte
2773,2017,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,642,6,QROC,0.17,0.75,68.0,15,7,22,20,15,5,1.1,75.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3839,2018,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,642,6,QROC,0.16,0.67,68.0,17,8,25,21,17,4,1.19,80.95,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4905,2019,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,642,6,QROC,0.12,0.84,68.0,16,7,23,21,16,5,1.1,76.19,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5971,2020,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,642,6,QROC,0.13,0.41,68.0,16,8,24,20,16,4,1.2,80.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
642,2015,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,643,7,QCM,0.04,0.72,69.0,10,4,14,13,10,3,1.08,76.92,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Adapte
1708,2016,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,643,7,QCM,0.06,0.95,69.0,11,5,16,12,11,1,1.33,91.67,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2774,2017,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,643,7,QCM,0.19,0.73,69.0,11,5,16,15,11,4,1.07,73.33,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3840,2018,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,643,7,QCU,0.08,0.82,69.0,10,4,14,13,10,3,1.08,76.92,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4906,2019,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,643,7,QCU,0.12,0.78,69.0,8,4,12,12,8,4,1.0,66.67,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5972,2020,Mathematique,1,La Derivation,4,La Fonction Exponentielle Complexe,7,643,7,QCU,0.1,0.84,69.0,7,3,10,8,7,1,1.25,87.5,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
643,2015,Mathematique,1,La Derivation,5,Derivees d'Ordres Superieurs,8,644,1,QROC,0.03,0.81,69.0,23,11,34,33,23,10,1.03,69.7,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
1709,2016,Mathematique,1,La Derivation,5,Derivees d'Ordres Superieurs,8,644,1,QROC,0.01,0.92,69.0,23,11,34,31,23,8,1.1,74.19,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2775,2017,Mathematique,1,La Derivation,5,Derivees d'Ordres Superieurs,8,644,1,QROC,0.01,0.9,69.0,21,10,31,29,21,8,1.07,72.41,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3841,2018,Mathematique,1,La Derivation,5,Derivees d'Ordres Superieurs,8,644,1,QCM,0.1,0.88,69.0,18,8,26,24,18,6,1.08,75.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4907,2019,Mathematique,1,La Derivation,5,Derivees d'Ordres Superieurs,8,644,1,QO,0.0,0.55,69.0,21,9,30,29,21,8,1.03,72.41,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5973,2020,Mathematique,1,La Derivation,5,Derivees d'Ordres Superieurs,8,644,1,QO,0.12,0.31,69.0,23,10,33,32,23,9,1.03,71.88,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
644,2015,Mathematique,1,La Derivation,5,Derivees d'Ordres Superieurs,8,645,2,QROC,0.85,0.13,6.0,6,89,95,83,6,77,1.14,7.23,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1710,2016,Mathematique,1,La Derivation,5,Derivees d'Ordres Superieurs,8,645,2,QROC,0.03,0.6,69.0,75,33,108,97,75,22,1.11,77.32,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2776,2017,Mathematique,1,La Derivation,5,Derivees d'Ordres Superieurs,8,645,2,QO,0.11,0.35,69.0,82,37,119,87,82,5,1.37,94.25,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3842,2018,Mathematique,1,La Derivation,5,Derivees d'Ordres Superieurs,8,645,2,QROC,0.0,0.98,69.0,84,38,122,114,84,30,1.07,73.68,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
