,Year,Course_ID,Course_Duration,Course_Ressources,Course_Ress_Digit,Course_Ress_inClass,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
7362,2020,475,13,7,2,5,1,1,0,4,1,0
475,2013,476,40,19,5,14,2,2,1,10,3,1
1459,2014,476,40,19,5,14,2,2,1,10,3,1
2443,2015,476,40,19,6,13,3,2,1,9,3,1
3427,2016,476,40,19,7,12,3,2,2,9,3,0
4411,2017,476,40,19,8,11,4,2,2,8,3,0
5395,2018,476,40,19,9,10,5,2,2,7,3,0
6379,2019,476,40,19,10,9,5,3,2,7,2,0
7363,2020,476,40,19,12,7,6,4,2,6,1,0
476,2013,477,56,42,7,35,4,3,0,23,10,2
1460,2014,477,56,42,8,34,5,3,0,22,10,2
2444,2015,477,56,42,8,34,5,3,0,22,10,2
3428,2016,477,56,42,10,32,7,3,0,20,10,2
4412,2017,477,56,42,11,31,8,3,0,19,10,2
5396,2018,477,56,42,12,30,9,3,0,18,10,2
6380,2019,477,56,42,12,30,9,3,0,18,10,2
7364,2020,477,56,42,12,30,9,3,0,18,10,2
477,2013,478,6,4,1,3,0,1,0,1,1,1
1461,2014,478,6,4,1,3,0,1,0,1,1,1
2445,2015,478,6,4,1,3,0,1,0,1,1,1
3429,2016,478,6,4,2,2,1,1,0,0,1,1
4413,2017,478,6,4,2,2,1,1,0,0,1,1
5397,2018,478,6,4,2,2,1,1,0,0,1,1
6381,2019,478,6,4,2,2,1,1,0,0,1,1
7365,2020,478,6,4,2,2,1,1,0,0,1,1
478,2013,479,13,9,4,5,2,1,1,3,1,1
1462,2014,479,13,9,5,4,2,2,1,3,0,1
2446,2015,479,13,9,6,3,3,2,1,2,0,1
3430,2016,479,13,9,7,2,4,2,1,1,0,1
4414,2017,479,13,9,9,0,5,2,2,0,0,0
5398,2018,479,13,9,9,0,5,2,2,0,0,0
6382,2019,479,13,9,9,0,5,2,2,0,0,0
7366,2020,479,13,9,9,0,5,2,2,0,0,0
479,2013,480,51,26,11,15,5,4,2,10,4,1
1463,2014,480,51,26,12,14,5,5,2,10,3,1
2447,2015,480,51,26,12,14,5,5,2,10,3,1
3431,2016,480,51,26,14,12,6,6,2,9,2,1
4415,2017,480,51,26,15,11,7,6,2,8,2,1
5399,2018,480,51,26,15,11,7,6,2,8,2,1
6383,2019,480,51,26,16,10,7,7,2,8,1,1
7367,2020,480,51,26,18,8,9,7,2,6,1,1
480,2013,481,25,10,1,9,0,1,0,6,3,0
1464,2014,481,25,10,1,9,0,1,0,6,3,0
2448,2015,481,25,10,1,9,0,1,0,6,3,0
3432,2016,481,25,10,1,9,0,1,0,6,3,0
4416,2017,481,25,10,1,9,0,1,0,6,3,0
5400,2018,481,25,10,1,9,0,1,0,6,3,0
6384,2019,481,25,10,1,9,0,1,0,6,3,0
7368,2020,481,25,10,1,9,0,1,0,6,3,0
481,2013,482,33,29,10,19,6,3,1,13,6,0
1465,2014,482,33,29,10,19,6,3,1,13,6,0
2449,2015,482,33,29,11,18,7,3,1,12,6,0
3433,2016,482,33,29,13,16,8,4,1,11,5,0
4417,2017,482,33,29,16,13,8,7,1,11,2,0
5401,2018,482,33,29,18,11,10,7,1,9,2,0
6385,2019,482,33,29,21,8,13,7,1,6,2,0
7369,2020,482,33,29,24,5,14,9,1,5,0,0
482,2013,483,20,12,2,10,2,0,0,7,2,1
1466,2014,483,20,12,2,10,2,0,0,7,2,1
2450,2015,483,20,12,2,10,2,0,0,7,2,1
3434,2016,483,20,12,3,9,3,0,0,6,2,1
4418,2017,483,20,12,3,9,3,0,0,6,2,1
5402,2018,483,20,12,3,9,3,0,0,6,2,1
6386,2019,483,20,12,4,8,3,1,0,6,1,1
7370,2020,483,20,12,4,8,3,1,0,6,1,1
483,2013,484,12,8,3,5,1,1,1,3,2,0
1467,2014,484,12,8,3,5,1,1,1,3,2,0
2451,2015,484,12,8,3,5,1,1,1,3,2,0
3435,2016,484,12,8,4,4,1,2,1,3,1,0
4419,2017,484,12,8,5,3,2,2,1,2,1,0
5403,2018,484,12,8,5,3,2,2,1,2,1,0
6387,2019,484,12,8,6,2,3,2,1,1,1,0
7371,2020,484,12,8,8,0,4,3,1,0,0,0
484,2013,485,28,9,1,8,1,0,0,5,3,0
1468,2014,485,28,9,1,8,1,0,0,5,3,0
2452,2015,485,28,9,2,7,2,0,0,4,3,0
3436,2016,485,28,9,2,7,2,0,0,4,3,0
4420,2017,485,28,9,2,7,2,0,0,4,3,0
5404,2018,485,28,9,2,7,2,0,0,4,3,0
6388,2019,485,28,9,2,7,2,0,0,4,3,0
7372,2020,485,28,9,2,7,2,0,0,4,3,0
485,2013,486,28,15,3,12,1,2,0,8,3,1
1469,2014,486,28,15,4,11,2,2,0,7,3,1
2453,2015,486,28,15,4,11,2,2,0,7,3,1
3437,2016,486,28,15,5,10,2,3,0,7,2,1
4421,2017,486,28,15,6,9,3,3,0,6,2,1
5405,2018,486,28,15,6,9,3,3,0,6,2,1
6389,2019,486,28,15,7,8,4,3,0,5,2,1
7373,2020,486,28,15,8,7,4,4,0,5,1,1
486,2013,487,43,11,5,6,3,2,0,4,2,0
1470,2014,487,43,11,6,5,3,3,0,4,1,0
2454,2015,487,43,11,8,3,4,4,0,3,0,0
3438,2016,487,43,11,9,2,5,4,0,2,0,0
4422,2017,487,43,11,11,0,7,4,0,0,0,0
5406,2018,487,43,11,11,0,7,4,0,0,0,0
6390,2019,487,43,11,11,0,7,4,0,0,0,0
7374,2020,487,43,11,11,0,7,4,0,0,0,0
487,2013,488,10,9,1,8,1,0,0,6,1,1
1471,2014,488,10,9,2,7,1,1,0,6,0,1
2455,2015,488,10,9,2,7,1,1,0,6,0,1
3439,2016,488,10,9,2,7,1,1,0,6,0,1
4423,2017,488,10,9,3,6,2,1,0,5,0,1
5407,2018,488,10,9,3,6,2,1,0,5,0,1
6391,2019,488,10,9,3,6,2,1,0,5,0,1
7375,2020,488,10,9,3,6,2,1,0,5,0,1
488,2013,489,13,12,3,9,1,2,0,6,2,1
1472,2014,489,13,12,4,8,2,2,0,5,2,1
2456,2015,489,13,12,5,7,3,2,0,4,2,1
3440,2016,489,13,12,5,7,3,2,0,4,2,1
4424,2017,489,13,12,6,6,3,3,0,4,1,1
5408,2018,489,13,12,6,6,3,3,0,4,1,1
6392,2019,489,13,12,7,5,3,4,0,4,0,1
7376,2020,489,13,12,9,3,5,4,0,2,0,1
489,2013,490,12,9,2,7,1,1,0,4,3,0
1473,2014,490,12,9,2,7,1,1,0,4,3,0
2457,2015,490,12,9,2,7,1,1,0,4,3,0
3441,2016,490,12,9,2,7,1,1,0,4,3,0
4425,2017,490,12,9,2,7,1,1,0,4,3,0
5409,2018,490,12,9,2,7,1,1,0,4,3,0
6393,2019,490,12,9,2,7,1,1,0,4,3,0
7377,2020,490,12,9,3,6,2,1,0,3,3,0
490,2013,491,10,5,2,3,1,1,0,1,1,1
1474,2014,491,10,5,2,3,1,1,0,1,1,1
2458,2015,491,10,5,2,3,1,1,0,1,1,1
3442,2016,491,10,5,2,3,1,1,0,1,1,1
4426,2017,491,10,5,2,3,1,1,0,1,1,1
5410,2018,491,10,5,2,3,1,1,0,1,1,1
6394,2019,491,10,5,3,2,1,2,0,1,0,1
7378,2020,491,10,5,3,2,1,2,0,1,0,1
491,2013,492,6,2,1,1,0,1,0,1,0,0
1475,2014,492,6,2,1,1,0,1,0,1,0,0
2459,2015,492,6,2,1,1,0,1,0,1,0,0
3443,2016,492,6,2,1,1,0,1,0,1,0,0
4427,2017,492,6,2,2,0,1,1,0,0,0,0
5411,2018,492,6,2,2,0,1,1,0,0,0,0
6395,2019,492,6,2,2,0,1,1,0,0,0,0
7379,2020,492,6,2,2,0,1,1,0,0,0,0
492,2013,493,15,7,1,6,1,0,0,4,1,1
1476,2014,493,15,7,2,5,1,1,0,4,0,1
2460,2015,493,15,7,2,5,1,1,0,4,0,1
3444,2016,493,15,7,2,5,1,1,0,4,0,1
4428,2017,493,15,7,2,5,1,1,0,4,0,1
5412,2018,493,15,7,2,5,1,1,0,4,0,1
6396,2019,493,15,7,2,5,1,1,0,4,0,1
7380,2020,493,15,7,2,5,1,1,0,4,0,1
493,2013,494,16,5,3,2,1,1,1,2,0,0
1477,2014,494,16,5,3,2,1,1,1,2,0,0
2461,2015,494,16,5,3,2,1,1,1,2,0,0
3445,2016,494,16,5,3,2,1,1,1,2,0,0
4429,2017,494,16,5,3,2,1,1,1,2,0,0
5413,2018,494,16,5,4,1,2,1,1,1,0,0
6397,2019,494,16,5,4,1,2,1,1,1,0,0
7381,2020,494,16,5,4,1,2,1,1,1,0,0
494,2013,495,39,22,6,16,3,3,0,11,4,1
1478,2014,495,39,22,6,16,3,3,0,11,4,1
2462,2015,495,39,22,7,15,4,3,0,10,4,1
3446,2016,495,39,22,8,14,4,4,0,10,3,1
4430,2017,495,39,22,9,13,5,4,0,9,3,1
5414,2018,495,39,22,10,12,5,5,0,9,2,1
6398,2019,495,39,22,10,12,5,5,0,9,2,1
7382,2020,495,39,22,12,10,5,7,0,9,0,1
495,2013,496,24,18,3,15,1,1,1,10,4,1
1479,2014,496,24,18,3,15,1,1,1,10,4,1
2463,2015,496,24,18,4,14,1,2,1,10,3,1
3447,2016,496,24,18,5,13,1,3,1,10,2,1
4431,2017,496,24,18,5,13,1,3,1,10,2,1
5415,2018,496,24,18,5,13,1,3,1,10,2,1
6399,2019,496,24,18,6,12,1,4,1,10,1,1
7383,2020,496,24,18,7,11,2,4,1,9,1,1
496,2013,497,34,15,3,12,3,0,0,8,3,1
1480,2014,497,34,15,3,12,3,0,0,8,3,1
2464,2015,497,34,15,3,12,3,0,0,8,3,1
3448,2016,497,34,15,3,12,3,0,0,8,3,1
4432,2017,497,34,15,4,11,4,0,0,7,3,1
5416,2018,497,34,15,4,11,4,0,0,7,3,1
6400,2019,497,34,15,4,11,4,0,0,7,3,1
7384,2020,497,34,15,4,11,4,0,0,7,3,1
497,2013,498,9,8,2,6,2,0,0,4,1,1
1481,2014,498,9,8,2,6,2,0,0,4,1,1
2465,2015,498,9,8,2,6,2,0,0,4,1,1
3449,2016,498,9,8,2,6,2,0,0,4,1,1
4433,2017,498,9,8,3,5,3,0,0,3,1,1
5417,2018,498,9,8,3,5,3,0,0,3,1,1
6401,2019,498,9,8,4,4,4,0,0,2,1,1
7385,2020,498,9,8,4,4,4,0,0,2,1,1
498,2013,499,7,4,1,3,0,1,0,2,1,0
1482,2014,499,7,4,1,3,0,1,0,2,1,0
2466,2015,499,7,4,1,3,0,1,0,2,1,0
3450,2016,499,7,4,1,3,0,1,0,2,1,0
4434,2017,499,7,4,1,3,0,1,0,2,1,0
5418,2018,499,7,4,1,3,0,1,0,2,1,0
6402,2019,499,7,4,1,3,0,1,0,2,1,0
7386,2020,499,7,4,1,3,0,1,0,2,1,0
499,2013,500,13,10,4,6,1,2,1,4,2,0
1483,2014,500,13,10,5,5,1,3,1,4,1,0
2467,2015,500,13,10,5,5,1,3,1,4,1,0
3451,2016,500,13,10,6,4,1,4,1,4,0,0
4435,2017,500,13,10,7,3,2,4,1,3,0,0
5419,2018,500,13,10,7,3,2,4,1,3,0,0
6403,2019,500,13,10,9,1,4,4,1,1,0,0
7387,2020,500,13,10,10,0,5,4,1,0,0,0
500,2013,501,21,19,4,15,2,2,0,9,5,1
1484,2014,501,21,19,5,14,3,2,0,8,5,1
2468,2015,501,21,19,5,14,3,2,0,8,5,1
3452,2016,501,21,19,6,13,4,2,0,7,5,1
4436,2017,501,21,19,7,12,4,3,0,7,4,1
5420,2018,501,21,19,8,11,5,3,0,6,4,1
6404,2019,501,21,19,9,10,5,4,0,6,3,1
7388,2020,501,21,19,9,10,5,4,0,6,3,1
501,2013,502,8,7,3,4,1,1,1,3,1,0
1485,2014,502,8,7,4,3,1,2,1,3,0,0
2469,2015,502,8,7,4,3,1,2,1,3,0,0
3453,2016,502,8,7,4,3,1,2,1,3,0,0
4437,2017,502,8,7,5,2,2,2,1,2,0,0
5421,2018,502,8,7,5,2,2,2,1,2,0,0
6405,2019,502,8,7,6,1,3,2,1,1,0,0
7389,2020,502,8,7,7,0,4,2,1,0,0,0
502,2013,503,7,7,2,5,1,1,0,4,1,0
1486,2014,503,7,7,2,5,1,1,0,4,1,0
2470,2015,503,7,7,3,4,2,1,0,3,1,0
3454,2016,503,7,7,3,4,2,1,0,3,1,0
4438,2017,503,7,7,3,4,2,1,0,3,1,0
5422,2018,503,7,7,4,3,3,1,0,2,1,0
6406,2019,503,7,7,4,3,3,1,0,2,1,0
7390,2020,503,7,7,5,2,3,2,0,2,0,0
503,2013,504,10,7,1,6,1,0,0,4,2,0
1487,2014,504,10,7,1,6,1,0,0,4,2,0
2471,2015,504,10,7,1,6,1,0,0,4,2,0
3455,2016,504,10,7,1,6,1,0,0,4,2,0
4439,2017,504,10,7,1,6,1,0,0,4,2,0
5423,2018,504,10,7,1,6,1,0,0,4,2,0
6407,2019,504,10,7,1,6,1,0,0,4,2,0
7391,2020,504,10,7,1,6,1,0,0,4,2,0
504,2013,505,13,7,4,3,3,1,0,1,1,1
1488,2014,505,13,7,4,3,3,1,0,1,1,1
2472,2015,505,13,7,5,2,3,2,0,1,0,1
3456,2016,505,13,7,5,2,3,2,0,1,0,1
4440,2017,505,13,7,6,1,4,2,0,0,0,1
5424,2018,505,13,7,6,1,4,2,0,0,0,1
6408,2019,505,13,7,7,0,4,2,1,0,0,0
7392,2020,505,13,7,7,0,4,2,1,0,0,0
505,2013,506,16,9,4,5,2,2,0,2,2,1
1489,2014,506,16,9,5,4,3,2,0,1,2,1
2473,2015,506,16,9,6,3,3,3,0,1,1,1
3457,2016,506,16,9,7,2,4,3,0,0,1,1
4441,2017,506,16,9,7,2,4,3,0,0,1,1
5425,2018,506,16,9,7,2,4,3,0,0,1,1
6409,2019,506,16,9,8,1,4,4,0,0,0,1
7393,2020,506,16,9,8,1,4,4,0,0,0,1
506,2013,507,37,27,2,25,2,0,0,17,6,2
1490,2014,507,37,27,3,24,2,1,0,17,5,2
2474,2015,507,37,27,3,24,2,1,0,17,5,2
3458,2016,507,37,27,3,24,2,1,0,17,5,2
4442,2017,507,37,27,4,23,2,1,1,17,5,1
5426,2018,507,37,27,5,22,2,2,1,17,4,1
6410,2019,507,37,27,6,21,3,2,1,16,4,1
7394,2020,507,37,27,7,20,4,2,1,15,4,1
507,2013,508,15,7,3,4,1,1,1,2,2,0
1491,2014,508,15,7,4,3,2,1,1,1,2,0
2475,2015,508,15,7,4,3,2,1,1,1,2,0
3459,2016,508,15,7,4,3,2,1,1,1,2,0
4443,2017,508,15,7,4,3,2,1,1,1,2,0
5427,2018,508,15,7,4,3,2,1,1,1,2,0
6411,2019,508,15,7,4,3,2,1,1,1,2,0
7395,2020,508,15,7,5,2,2,2,1,1,1,0
508,2013,509,26,16,6,10,2,3,1,6,3,1
1492,2014,509,26,16,7,9,2,4,1,6,2,1
2476,2015,509,26,16,8,8,2,5,1,6,1,1
3460,2016,509,26,16,9,7,2,6,1,6,0,1
4444,2017,509,26,16,11,5,4,6,1,4,0,1
5428,2018,509,26,16,11,5,4,6,1,4,0,1
6412,2019,509,26,16,13,3,6,6,1,2,0,1
7396,2020,509,26,16,14,2,7,6,1,1,0,1
509,2013,510,7,6,3,3,1,1,1,1,1,1
1493,2014,510,7,6,4,2,2,1,1,0,1,1
2477,2015,510,7,6,4,2,2,1,1,0,1,1
3461,2016,510,7,6,4,2,2,1,1,0,1,1
4445,2017,510,7,6,5,1,2,2,1,0,0,1
5429,2018,510,7,6,5,1,2,2,1,0,0,1
6413,2019,510,7,6,5,1,2,2,1,0,0,1
7397,2020,510,7,6,6,0,2,2,2,0,0,0
510,2013,511,9,3,1,2,1,0,0,1,1,0
1494,2014,511,9,3,1,2,1,0,0,1,1,0
2478,2015,511,9,3,1,2,1,0,0,1,1,0
3462,2016,511,9,3,1,2,1,0,0,1,1,0
4446,2017,511,9,3,1,2,1,0,0,1,1,0
5430,2018,511,9,3,1,2,1,0,0,1,1,0
6414,2019,511,9,3,1,2,1,0,0,1,1,0
7398,2020,511,9,3,1,2,1,0,0,1,1,0
511,2013,512,7,5,1,4,1,0,0,1,2,1
1495,2014,512,7,5,2,3,2,0,0,0,2,1
2479,2015,512,7,5,2,3,2,0,0,0,2,1
3463,2016,512,7,5,2,3,2,0,0,0,2,1
4447,2017,512,7,5,2,3,2,0,0,0,2,1
5431,2018,512,7,5,2,3,2,0,0,0,2,1
6415,2019,512,7,5,3,2,2,1,0,0,1,1
7399,2020,512,7,5,3,2,2,1,0,0,1,1
512,2013,513,7,2,1,1,0,1,0,1,0,0
1496,2014,513,7,2,1,1,0,1,0,1,0,0
2480,2015,513,7,2,2,0,1,1,0,0,0,0
3464,2016,513,7,2,2,0,1,1,0,0,0,0
4448,2017,513,7,2,2,0,1,1,0,0,0,0
5432,2018,513,7,2,2,0,1,1,0,0,0,0
6416,2019,513,7,2,2,0,1,1,0,0,0,0
7400,2020,513,7,2,2,0,1,1,0,0,0,0
513,2013,514,11,5,2,3,1,1,0,2,1,0
1497,2014,514,11,5,3,2,2,1,0,1,1,0
2481,2015,514,11,5,3,2,2,1,0,1,1,0
3465,2016,514,11,5,4,1,2,2,0,1,0,0
4449,2017,514,11,5,4,1,2,2,0,1,0,0
5433,2018,514,11,5,4,1,2,2,0,1,0,0
6417,2019,514,11,5,4,1,2,2,0,1,0,0
7401,2020,514,11,5,5,0,3,2,0,0,0,0
514,2013,515,8,3,2,1,1,1,0,1,0,0
1498,2014,515,8,3,2,1,1,1,0,1,0,0
2482,2015,515,8,3,2,1,1,1,0,1,0,0
3466,2016,515,8,3,3,0,2,1,0,0,0,0
4450,2017,515,8,3,3,0,2,1,0,0,0,0
5434,2018,515,8,3,3,0,2,1,0,0,0,0
6418,2019,515,8,3,3,0,2,1,0,0,0,0
7402,2020,515,8,3,3,0,2,1,0,0,0,0
515,2013,516,8,4,2,2,1,1,0,1,1,0
1499,2014,516,8,4,2,2,1,1,0,1,1,0
2483,2015,516,8,4,3,1,1,2,0,1,0,0
3467,2016,516,8,4,3,1,1,2,0,1,0,0
4451,2017,516,8,4,3,1,1,2,0,1,0,0
5435,2018,516,8,4,3,1,1,2,0,1,0,0
6419,2019,516,8,4,3,1,1,2,0,1,0,0
7403,2020,516,8,4,4,0,2,2,0,0,0,0
516,2013,517,6,2,1,1,0,1,0,0,1,0
1500,2014,517,6,2,1,1,0,1,0,0,1,0
2484,2015,517,6,2,1,1,0,1,0,0,1,0
3468,2016,517,6,2,1,1,0,1,0,0,1,0
4452,2017,517,6,2,1,1,0,1,0,0,1,0
5436,2018,517,6,2,1,1,0,1,0,0,1,0
6420,2019,517,6,2,1,1,0,1,0,0,1,0
7404,2020,517,6,2,1,1,0,1,0,0,1,0
517,2013,518,18,16,8,8,5,3,0,6,1,1
1501,2014,518,18,16,10,6,7,3,0,4,1,1
2485,2015,518,18,16,12,4,8,4,0,3,0,1
3469,2016,518,18,16,12,4,8,4,0,3,0,1
4453,2017,518,18,16,13,3,9,4,0,2,0,1
5437,2018,518,18,16,15,1,11,4,0,0,0,1
6421,2019,518,18,16,16,0,11,4,1,0,0,0
7405,2020,518,18,16,16,0,11,4,1,0,0,0
518,2013,519,57,42,19,23,10,7,2,15,7,1
1502,2014,519,57,42,20,22,10,8,2,15,6,1
2486,2015,519,57,42,20,22,10,8,2,15,6,1
3470,2016,519,57,42,24,18,10,12,2,15,2,1
4454,2017,519,57,42,28,14,14,12,2,11,2,1
5438,2018,519,57,42,28,14,14,12,2,11,2,1
6422,2019,519,57,42,30,12,15,13,2,10,1,1
7406,2020,519,57,42,31,11,16,13,2,9,1,1
519,2013,520,37,25,9,16,6,2,1,10,5,1
1503,2014,520,37,25,10,15,7,2,1,9,5,1
2487,2015,520,37,25,11,14,7,3,1,9,4,1
3471,2016,520,37,25,12,13,7,4,1,9,3,1
4455,2017,520,37,25,14,11,7,6,1,9,1,1
5439,2018,520,37,25,16,9,7,7,2,9,0,0
6423,2019,520,37,25,17,8,8,7,2,8,0,0
7407,2020,520,37,25,20,5,11,7,2,5,0,0
520,2013,521,33,32,3,29,1,2,0,19,8,2
1504,2014,521,33,32,3,29,1,2,0,19,8,2
2488,2015,521,33,32,4,28,1,3,0,19,7,2
3472,2016,521,33,32,4,28,1,3,0,19,7,2
4456,2017,521,33,32,4,28,1,3,0,19,7,2
5440,2018,521,33,32,5,27,2,3,0,18,7,2
6424,2019,521,33,32,5,27,2,3,0,18,7,2
7408,2020,521,33,32,6,26,2,4,0,18,6,2
521,2013,522,16,11,6,5,4,2,0,2,2,1
1505,2014,522,16,11,6,5,4,2,0,2,2,1
2489,2015,522,16,11,6,5,4,2,0,2,2,1
3473,2016,522,16,11,7,4,5,2,0,1,2,1
4457,2017,522,16,11,8,3,6,2,0,0,2,1
5441,2018,522,16,11,9,2,6,3,0,0,1,1
6425,2019,522,16,11,10,1,6,4,0,0,0,1
7409,2020,522,16,11,11,0,6,4,1,0,0,0
522,2013,523,40,36,17,19,12,5,0,13,5,1
1506,2014,523,40,36,20,16,14,6,0,11,4,1
2490,2015,523,40,36,21,15,15,6,0,10,4,1
3474,2016,523,40,36,22,14,15,7,0,10,3,1
4458,2017,523,40,36,24,12,17,7,0,8,3,1
5442,2018,523,40,36,25,11,18,7,0,7,3,1
6426,2019,523,40,36,27,9,18,9,0,7,1,1
7410,2020,523,40,36,33,3,23,10,0,2,0,1
523,2013,524,5,3,2,1,2,0,0,1,0,0
1507,2014,524,5,3,2,1,2,0,0,1,0,0
2491,2015,524,5,3,2,1,2,0,0,1,0,0
3475,2016,524,5,3,2,1,2,0,0,1,0,0
4459,2017,524,5,3,2,1,2,0,0,1,0,0
5443,2018,524,5,3,3,0,3,0,0,0,0,0
6427,2019,524,5,3,3,0,3,0,0,0,0,0
7411,2020,524,5,3,3,0,3,0,0,0,0,0
524,2013,525,10,5,1,4,1,0,0,2,1,1
1508,2014,525,10,5,2,3,1,1,0,2,0,1
2492,2015,525,10,5,2,3,1,1,0,2,0,1
3476,2016,525,10,5,2,3,1,1,0,2,0,1
4460,2017,525,10,5,2,3,1,1,0,2,0,1
5444,2018,525,10,5,2,3,1,1,0,2,0,1
6428,2019,525,10,5,2,3,1,1,0,2,0,1
7412,2020,525,10,5,3,2,2,1,0,1,0,1
525,2013,526,14,10,1,9,0,1,0,6,2,1
1509,2014,526,14,10,1,9,0,1,0,6,2,1
2493,2015,526,14,10,1,9,0,1,0,6,2,1
3477,2016,526,14,10,1,9,0,1,0,6,2,1
4461,2017,526,14,10,1,9,0,1,0,6,2,1
5445,2018,526,14,10,1,9,0,1,0,6,2,1
6429,2019,526,14,10,1,9,0,1,0,6,2,1
7413,2020,526,14,10,1,9,0,1,0,6,2,1
526,2013,527,6,4,1,3,1,0,0,1,1,1
1510,2014,527,6,4,1,3,1,0,0,1,1,1
2494,2015,527,6,4,1,3,1,0,0,1,1,1
3478,2016,527,6,4,1,3,1,0,0,1,1,1
4462,2017,527,6,4,1,3,1,0,0,1,1,1
5446,2018,527,6,4,1,3,1,0,0,1,1,1
6430,2019,527,6,4,1,3,1,0,0,1,1,1
7414,2020,527,6,4,1,3,1,0,0,1,1,1
527,2013,528,14,7,2,5,1,1,0,2,2,1
1511,2014,528,14,7,3,4,1,2,0,2,1,1
2495,2015,528,14,7,3,4,1,2,0,2,1,1
3479,2016,528,14,7,3,4,1,2,0,2,1,1
4463,2017,528,14,7,4,3,1,3,0,2,0,1
5447,2018,528,14,7,4,3,1,3,0,2,0,1
6431,2019,528,14,7,4,3,1,3,0,2,0,1
7415,2020,528,14,7,5,2,2,3,0,1,0,1
528,2013,529,21,7,1,6,0,1,0,4,1,1
1512,2014,529,21,7,1,6,0,1,0,4,1,1
2496,2015,529,21,7,1,6,0,1,0,4,1,1
3480,2016,529,21,7,2,5,1,1,0,3,1,1
4464,2017,529,21,7,2,5,1,1,0,3,1,1
5448,2018,529,21,7,2,5,1,1,0,3,1,1
6432,2019,529,21,7,2,5,1,1,0,3,1,1
7416,2020,529,21,7,2,5,1,1,0,3,1,1
529,2013,530,43,11,2,9,1,1,0,5,3,1
1513,2014,530,43,11,2,9,1,1,0,5,3,1
2497,2015,530,43,11,2,9,1,1,0,5,3,1
3481,2016,530,43,11,2,9,1,1,0,5,3,1
4465,2017,530,43,11,2,9,1,1,0,5,3,1
5449,2018,530,43,11,3,8,1,2,0,5,2,1
6433,2019,530,43,11,3,8,1,2,0,5,2,1
7417,2020,530,43,11,3,8,1,2,0,5,2,1
530,2013,531,36,28,7,21,4,3,0,13,6,2
1514,2014,531,36,28,7,21,4,3,0,13,6,2
2498,2015,531,36,28,8,20,4,4,0,13,5,2
3482,2016,531,36,28,8,20,4,4,0,13,5,2
4466,2017,531,36,28,9,19,5,4,0,12,5,2
5450,2018,531,36,28,9,19,5,4,0,12,5,2
6434,2019,531,36,28,10,18,5,5,0,12,4,2
7418,2020,531,36,28,11,17,6,5,0,11,4,2
531,2013,532,18,16,4,12,2,2,0,7,4,1
1515,2014,532,18,16,4,12,2,2,0,7,4,1
2499,2015,532,18,16,4,12,2,2,0,7,4,1
3483,2016,532,18,16,4,12,2,2,0,7,4,1
4467,2017,532,18,16,5,11,3,2,0,6,4,1
5451,2018,532,18,16,6,10,3,3,0,6,3,1
6435,2019,532,18,16,7,9,4,3,0,5,3,1
7419,2020,532,18,16,9,7,5,4,0,4,2,1
532,2013,533,8,3,1,2,0,1,0,1,1,0
1516,2014,533,8,3,2,1,1,1,0,0,1,0
2500,2015,533,8,3,2,1,1,1,0,0,1,0
3484,2016,533,8,3,2,1,1,1,0,0,1,0
4468,2017,533,8,3,2,1,1,1,0,0,1,0
5452,2018,533,8,3,2,1,1,1,0,0,1,0
6436,2019,533,8,3,2,1,1,1,0,0,1,0
7420,2020,533,8,3,2,1,1,1,0,0,1,0
533,2013,534,24,6,1,5,1,0,0,4,1,0
1517,2014,534,24,6,1,5,1,0,0,4,1,0
2501,2015,534,24,6,1,5,1,0,0,4,1,0
3485,2016,534,24,6,1,5,1,0,0,4,1,0
4469,2017,534,24,6,1,5,1,0,0,4,1,0
5453,2018,534,24,6,1,5,1,0,0,4,1,0
6437,2019,534,24,6,1,5,1,0,0,4,1,0
7421,2020,534,24,6,1,5,1,0,0,4,1,0
534,2013,535,13,7,3,4,1,1,1,3,1,0
1518,2014,535,13,7,3,4,1,1,1,3,1,0
2502,2015,535,13,7,4,3,2,1,1,2,1,0
3486,2016,535,13,7,4,3,2,1,1,2,1,0
4470,2017,535,13,7,4,3,2,1,1,2,1,0
5454,2018,535,13,7,5,2,2,2,1,2,0,0
6438,2019,535,13,7,6,1,3,2,1,1,0,0
7422,2020,535,13,7,7,0,4,2,1,0,0,0
535,2013,536,54,26,9,17,6,2,1,11,5,1
1519,2014,536,54,26,9,17,6,2,1,11,5,1
2503,2015,536,54,26,10,16,6,3,1,11,4,1
3487,2016,536,54,26,11,15,6,4,1,11,3,1
4471,2017,536,54,26,13,13,8,4,1,9,3,1
5455,2018,536,54,26,16,10,10,5,1,7,2,1
6439,2019,536,54,26,17,9,10,6,1,7,1,1
7423,2020,536,54,26,18,8,10,7,1,7,0,1
536,2013,537,8,8,2,6,1,1,0,3,2,1
1520,2014,537,8,8,2,6,1,1,0,3,2,1
2504,2015,537,8,8,3,5,1,2,0,3,1,1
3488,2016,537,8,8,3,5,1,2,0,3,1,1
4472,2017,537,8,8,3,5,1,2,0,3,1,1
5456,2018,537,8,8,4,4,2,2,0,2,1,1
6440,2019,537,8,8,4,4,2,2,0,2,1,1
7424,2020,537,8,8,5,3,2,3,0,2,0,1
537,2013,538,10,10,4,6,2,1,1,3,2,1
1521,2014,538,10,10,5,5,2,2,1,3,1,1
